alpha,time,L2 Error,Linf Error,Wasserstein
1.50000000E+00,0.00000000E+00,2.98683212E-08,4.06517355E-08,6.26720244E-09
1.50000000E+00,2.50000000E-01,7.65986681E-03,5.57503277E-03,1.90324789E-02
1.50000000E+00,5.00000000E-01,9.36470987E-03,7.14990714E-03,2.01440759E-02
1.50000000E+00,7.50000000E-01,8.82341816E-03,7.41576854E-03,2.09633508E-02
1.60000000E+00,0.00000000E+00,2.98683212E-08,4.06517355E-08,6.26720244E-09
1.60000000E+00,2.50000000E-01,5.37864665E-03,3.89022382E-03,1.69614099E-02
1.60000000E+00,5.00000000E-01,7.11686757E-03,6.10814588E-03,2.30132299E-02
1.60000000E+00,7.50000000E-01,7.59656870E-03,6.84291275E-03,2.92345588E-02
1.70000000E+00,0.00000000E+00,2.98683212E-08,4.06517355E-08,6.26720244E-09
1.70000000E+00,2.50000000E-01,3.98002383E-03,3.28257486E-03,1.67089808E-02
1.70000000E+00,5.00000000E-01,5.96319496E-03,5.49764744E-03,2.54139581E-02
1.70000000E+00,7.50000000E-01,7.22166098E-03,6.71751626E-03,3.28061226E-02
1.80000000E+00,0.00000000E+00,2.98683212E-08,4.06517355E-08,6.26720244E-09
1.80000000E+00,2.50000000E-01,2.82356910E-03,1.80188747E-03,8.97163479E-03
1.80000000E+00,5.00000000E-01,3.52508810E-03,1.92918657E-03,1.73507730E-02
1.80000000E+00,7.50000000E-01,5.63490537E-03,4.35076744E-03,2.89967666E-02
