Metric,Time,alpha_1.5,alpha_1.6,alpha_1.7,alpha_1.8
L2 Error,0.00,2.6494E-08,2.6494E-08,2.6494E-08,2.6494E-08
L2 Error,0.25,6.8495E-03,4.9946E-03,3.9464E-03,3.6269E-03
L2 Error,0.50,8.1138E-03,5.7442E-03,4.7465E-03,3.6973E-03
L2 Error,0.75,7.7569E-03,5.8559E-03,5.0960E-03,5.1559E-03
Linf Error,0.00,3.6983E-08,3.6983E-08,3.6983E-08,3.6983E-08
Linf Error,0.25,4.4213E-03,3.1906E-03,2.5605E-03,2.1784E-03
Linf Error,0.50,4.8253E-03,3.2303E-03,2.8492E-03,1.9609E-03
Linf Error,0.75,4.5895E-03,3.1006E-03,2.6209E-03,2.8305E-03
Wasserstein,0.00,3.0988E-09,3.0988E-09,3.0988E-09,3.0988E-09
Wasserstein,0.25,1.7885E-02,1.4724E-02,1.2080E-02,1.0109E-02
Wasserstein,0.50,2.0001E-02,1.8058E-02,1.6730E-02,1.5759E-02
Wasserstein,0.75,2.0029E-02,2.1504E-02,2.1529E-02,2.7736E-02
