alpha,time,Ext. Rel. L1 Error,Ext. Rel. L2 Error,Ext. Mass Error,GL Rel. L2 Error,Boundary GL Rel. L2 Error
1.50000000E+00,2.50000000E-01,6.70224741E-02,5.99343871E-02,3.01815522E-04,1.39195550E-04,2.55528317E-03
1.50000000E+00,5.00000000E-01,7.15164316E-02,6.38405327E-02,5.97990026E-04,3.03758071E-04,4.65438872E-03
1.50000000E+00,7.50000000E-01,7.51328782E-02,6.69760661E-02,8.75401194E-04,4.83702136E-04,6.41078771E-03
1.60000000E+00,2.50000000E-01,7.53717097E-02,6.67356962E-02,2.47378245E-04,1.35542196E-04,3.03626450E-03
1.60000000E+00,5.00000000E-01,8.34982195E-02,7.37379233E-02,5.07653746E-04,3.11613843E-04,5.59470591E-03
1.60000000E+00,7.50000000E-01,9.01700859E-02,7.94609793E-02,7.61939807E-04,5.13923686E-04,7.77439586E-03
1.70000000E+00,2.50000000E-01,8.40141734E-02,7.36666893E-02,1.87620158E-04,1.27382547E-04,3.63956348E-03
1.70000000E+00,5.00000000E-01,9.60988502E-02,8.39782564E-02,3.96383928E-04,3.07627360E-04,6.70394461E-03
1.70000000E+00,7.50000000E-01,1.06194518E-01,9.25410484E-02,6.06954449E-04,5.23637773E-04,9.31756064E-03
1.80000000E+00,2.50000000E-01,9.29357431E-02,8.07189252E-02,1.25007339E-04,1.09211451E-04,4.27725806E-03
1.80000000E+00,5.00000000E-01,1.09429480E-01,9.46632516E-02,2.70928607E-04,2.77393824E-04,7.74218315E-03
1.80000000E+00,7.50000000E-01,1.23555032E-01,1.06521901E-01,4.22424738E-04,4.88045916E-04,1.06614742E-02
