Time,Model,Relative_L2_error,Hellinger_distance,Survival_mass_absolute_error,Negative_mass
0.05,SBPINN,9.3531E-02,6.2130E-02,2.8784E-04,0.0000E+00
0.05,P1 FEM (112x112),2.3184E-01,7.6401E-02,8.8015E-03,0.0000E+00
0.10,SBPINN,1.4942E-01,6.7919E-02,2.1195E-03,0.0000E+00
0.10,P1 FEM (112x112),2.7078E-01,8.0916E-02,3.1329E-02,0.0000E+00
0.20,SBPINN,9.4666E-02,4.6303E-02,3.3367E-03,0.0000E+00
0.20,P1 FEM (112x112),3.4529E-01,9.6899E-02,6.3966E-02,0.0000E+00
0.30,SBPINN,1.0771E-01,7.8370E-02,6.0957E-03,0.0000E+00
0.30,P1 FEM (112x112),3.5200E-01,9.9232E-02,5.4547E-02,0.0000E+00
Mean,SBPINN,1.1133E-01,6.3681E-02,2.9599E-03,0.0000E+00
Mean,P1 FEM (112x112),2.9998E-01,8.8362E-02,3.9661E-02,0.0000E+00
