Metric,Time,alpha_1.5,alpha_1.6,alpha_1.7,alpha_1.8
L2 Error,0.0,9.5439E-02,7.1757E-02,9.1374E-02,6.6635E-02
L2 Error,1.0,4.8261E-02,4.7439E-02,9.3679E-02,4.9536E-02
L2 Error,2.0,2.9953E-02,5.7169E-02,1.0519E-01,6.2945E-02
L2 Error,3.0,7.7430E-02,6.2621E-02,1.1322E-01,7.9423E-02
Linf Error,0.0,1.3863E-01,1.1407E-01,1.4888E-01,1.0454E-01
Linf Error,1.0,7.0545E-02,9.5078E-02,1.1522E-01,8.7857E-02
Linf Error,2.0,5.1041E-02,8.6525E-02,1.4405E-01,9.6372E-02
Linf Error,3.0,9.4675E-02,9.2224E-02,1.5916E-01,1.3775E-01
Wasserstein,0.0,3.8694E-02,2.0868E-02,3.3857E-02,1.8479E-02
Wasserstein,1.0,1.0607E-02,1.2338E-02,4.5137E-02,3.7367E-02
Wasserstein,2.0,1.4650E-02,2.0654E-02,7.5024E-02,2.9085E-02
Wasserstein,3.0,6.8151E-02,3.3131E-02,9.3238E-02,5.9717E-02
