Time,Model,Relative L2 error,Hellinger distance,Survival-mass absolute error,Negative mass
0.05,SBPINN,9.35312282E-02,6.21301412E-02,2.87835448E-04,0.00000000E+00
0.05,P1 FEM,2.31837162E-01,7.64012211E-02,8.80152940E-03,0.00000000E+00
0.1,SBPINN,1.49424000E-01,6.79191992E-02,2.11947916E-03,0.00000000E+00
0.1,P1 FEM,2.70781170E-01,8.09162171E-02,3.13293134E-02,0.00000000E+00
0.2,SBPINN,9.46656496E-02,4.63026365E-02,3.33669844E-03,0.00000000E+00
0.2,P1 FEM,3.45288624E-01,9.68986137E-02,6.39662283E-02,0.00000000E+00
0.3,SBPINN,1.07712740E-01,7.83701845E-02,6.09569454E-03,0.00000000E+00
0.3,P1 FEM,3.52000607E-01,9.92320023E-02,5.45472695E-02,0.00000000E+00
Mean,SBPINN,1.11333404E-01,6.36805404E-02,2.95992690E-03,0.00000000E+00
Mean,P1 FEM,2.99976891E-01,8.83620135E-02,3.96610852E-02,0.00000000E+00
