Metric,Time,alpha_1.5,alpha_1.6,alpha_1.7,alpha_1.8
L2 Error,0.00,1.3022E-02,1.3022E-02,1.2743E-02,1.5395E-02
L2 Error,0.25,1.0273E-01,9.6994E-02,5.9627E-02,6.3305E-02
L2 Error,0.50,1.1771E-01,9.6492E-02,3.5633E-02,3.0200E-02
L2 Error,0.75,8.1846E-02,6.6269E-02,4.9555E-02,3.4203E-02
L2 Error,1.00,6.1592E-02,5.4819E-02,6.3068E-02,4.9785E-02
Linf Error,0.00,1.8635E-02,1.8635E-02,1.5501E-02,3.8747E-02
Linf Error,0.25,9.6600E-02,9.4815E-02,6.7600E-02,7.2433E-02
Linf Error,0.50,8.7610E-02,8.7307E-02,4.6149E-02,4.1316E-02
Linf Error,0.75,7.9517E-02,6.0044E-02,7.7854E-02,4.4356E-02
Linf Error,1.00,8.0127E-02,7.1976E-02,8.3564E-02,5.7810E-02
Wasserstein,0.00,5.0670E-03,5.0670E-03,4.7946E-03,4.1666E-03
Wasserstein,0.25,2.4974E-01,2.1422E-01,1.2059E-01,1.0847E-01
Wasserstein,0.50,3.9703E-01,2.9559E-01,7.5903E-02,6.0415E-02
Wasserstein,0.75,3.2153E-01,2.3606E-01,7.7209E-02,5.6879E-02
Wasserstein,1.00,1.7197E-01,1.5115E-01,1.5836E-01,1.6256E-01
