Metric,Time,alpha=1.5,alpha=1.6,alpha=1.7,alpha=1.8
L2 Error,t=0.0,7.9526E-02,5.5689E-02,6.6654E-02,7.8840E-02
,t=1.0,5.1501E-02,4.8452E-02,4.7556E-02,6.3016E-02
,t=2.0,6.1645E-02,4.3497E-02,7.5654E-02,5.0223E-02
,t=3.0,5.9762E-02,3.7064E-02,6.5287E-02,7.0224E-02
Linf Error,t=0.0,1.4188E-01,8.8119E-02,9.5426E-02,1.1390E-01
,t=1.0,8.2026E-02,1.0600E-01,9.1590E-02,7.8497E-02
,t=2.0,9.2167E-02,8.6701E-02,1.3447E-01,9.3801E-02
,t=3.0,8.1668E-02,6.4888E-02,9.4345E-02,1.0720E-01
Wasserstein,t=0.0,2.8701E-02,1.0807E-02,2.1029E-02,2.7500E-02
,t=1.0,2.3993E-02,9.4099E-03,1.6672E-02,2.7756E-02
,t=2.0,2.8413E-02,1.3180E-02,3.1579E-02,1.8080E-02
,t=3.0,3.5798E-02,2.1530E-02,2.5936E-02,2.0854E-02
