seed,method,final_mean_w,final_max_w,final_mean_mass_deviation,stage1_time_s,stage2_optim_time_s,total_optim_time_s,warmup_steps,physics_steps,gl_residual_evals,gl_stencil_points,reached_target,target_physics_step,target_total_stage2_step,target_optim_time_s,target_gl_residual_evals
42,homotopy,0.020693713698046037,0.02449892450077735,0.0014473995239414987,41.52117109997198,186.33265570097137,227.85382680094335,1000,4000,4000,245760000,1,100,1100,61.94970110116992,100
42,no_score,0.09575968538409692,0.12810588684168528,0.003061394315837925,0.0,167.26176600158215,167.26176600158215,0,4000,4000,245760000,0,-1,-1,-1.0,-1
123,homotopy,0.023341345479288178,0.025131187672864506,0.001815639681046477,39.11619630001951,186.995248303283,226.11144460330252,1000,4000,4000,245760000,1,500,1500,76.50409460347146,500
123,no_score,0.09917742942117165,0.13499474766690212,0.002387145149764125,0.0,167.6760516995564,167.6760516995564,0,4000,4000,245760000,0,-1,-1,-1.0,-1
2024,homotopy,0.019521899058315573,0.0201988663213842,0.0008577304349930426,39.09252559999004,191.25352300086524,230.34604860085528,1000,4000,4000,245760000,1,100,1100,59.69435209943913,100
2024,no_score,0.09192879899140959,0.1216425440584454,0.0029732750094448868,0.0,170.54097859933972,170.54097859933972,0,4000,4000,245760000,0,-1,-1,-1.0,-1
2025,homotopy,0.03966131405210228,0.044662940510966934,0.0071500503218075995,40.87240699992981,191.25984389788937,232.13225089781918,1000,4000,4000,245760000,1,1300,2300,114.40971919882577,1300
2025,no_score,0.0902174515308774,0.11910322994066264,0.0028231620551039858,0.0,168.38961050193757,168.38961050193757,0,4000,4000,245760000,0,-1,-1,-1.0,-1
2026,homotopy,0.016700809040475047,0.017862517136354568,0.0024157205580236374,39.23050509998575,187.3700649952516,226.60057009523734,1000,4000,4000,245760000,1,100,1100,59.46282759972382,100
2026,no_score,0.10179473937905137,0.1380375318881124,0.002869180759708915,0.0,167.77107179968152,167.77107179968152,0,4000,4000,245760000,0,-1,-1,-1.0,-1
