seed,method,final_mean_w,final_max_w,final_mean_mass_deviation,stage1_time_s,stage2_optim_time_s,total_optim_time_s,warmup_steps,physics_steps,gl_residual_evals,gl_stencil_points,reached_target,target_physics_step,target_total_stage2_step,target_optim_time_s,target_gl_residual_evals
42,homotopy,0.020693713698046037,0.02449892450077735,0.0014473995239414987,41.03407810011413,182.80131420248654,223.83539230260067,1000,4000,4000,245760000,1,100,1100,60.87128769967239,100
42,no_score,0.08409962663815233,0.10995961121493472,0.0027676998895750002,0.0,209.04714959906414,209.04714959906414,0,5000,5000,307200000,0,-1,-1,-1.0,-1
123,homotopy,0.023341345479288178,0.025131187672864506,0.001815639681046477,38.928235800005496,185.66872930002864,224.59696510003414,1000,4000,4000,245760000,1,500,1500,75.75085050158668,500
123,no_score,0.08917783442306208,0.11720873673842117,0.002940224392422327,0.0,207.6938257010188,207.6938257010188,0,5000,5000,307200000,0,-1,-1,-1.0,-1
2024,homotopy,0.019521899058315573,0.0201988663213842,0.0008577304349930426,39.03129979991354,183.08141020440962,222.11271000432316,1000,4000,4000,245760000,1,100,1100,58.86446030123625,100
2024,no_score,0.08580712948523199,0.11253336275783786,0.002980351400837374,0.0,205.81513650424313,205.81513650424313,0,5000,5000,307200000,0,-1,-1,-1.0,-1
2025,homotopy,0.03966131405210228,0.044662940510966934,0.0071500503218075995,38.95672590006143,185.93488969979808,224.8916155998595,1000,4000,4000,245760000,1,1300,2300,110.2376793998992,1300
2025,no_score,0.08232641100839035,0.10752484365532608,0.0026762755957233284,0.0,204.72269899910316,204.72269899910316,0,5000,5000,307200000,0,-1,-1,-1.0,-1
2026,homotopy,0.016700809040475047,0.017862517136354568,0.0024157205580236374,40.75884419993963,184.47283579560462,225.23167999554425,1000,4000,4000,245760000,1,100,1100,60.70645639963914,100
2026,no_score,0.08597428820120866,0.11314273684703606,0.002926151242164184,0.0,206.93235010118224,206.93235010118224,0,5000,5000,307200000,0,-1,-1,-1.0,-1
