method,configuration,relative_L2_error,L1_error,Hellinger_distance,Jensen_Shannon_divergence,mass_deviation,negative_mass,minimum_density,maximum_density,total_training_time_s,peak_cuda_memory_mb,total_time_s,estimated_peak_memory_GB
SBPINN,105730 parameters,0.03124557798766251,0.030421601765309406,0.015602075525914258,0.00024330980432090083,0.0,0.0,0.03196423572604618,10.38539739666619,614.6867348000087,735.892578125,,
Dense spectral periodic Q1 FEM,12x12,0.2155959654224017,0.2393418370722955,0.14872440053886135,0.018644270300514507,1.7933366071698487e-05,0.024985131308556806,-2.3516588957742823,10.156232543646517,,,0.18248239999229554,0.0011587142944335938
Dense spectral periodic Q1 FEM,16x16,0.12083769837513351,0.1239492785365793,0.08728244923708474,0.006535985324742788,2.220446049250313e-16,0.003782929024672632,-1.0337078582069676,10.229102684224825,,,0.20860750001156703,0.003662109375
Dense spectral periodic Q1 FEM,24x24,0.05771540771260178,0.05068424262525474,0.028693926946943477,0.0008199483840583895,9.34590272878566e-05,0.0,0.009044194578944445,10.248994433077925,,,0.32469800001126714,0.0185394287109375
Dense spectral periodic Q1 FEM,32x32,0.04547945127018496,0.03897636175726891,0.019551291029471077,0.00038207875036043665,0.0,0.0,0.032188616554222706,10.511193902682074,,,0.5807436000031885,0.05859375
Dense spectral periodic Q1 FEM,40x40,0.04385108475873893,0.03853767149442844,0.018136477206612697,0.0003288410531328594,3.462174256396722e-05,0.0,0.032286747113119,10.80683443100456,,,1.0776853999996092,0.1430511474609375
Dense spectral periodic Q1 FEM,48x48,0.04551354026397828,0.0399238748738611,0.018265403944847998,0.0003335435757739448,7.92479691957837e-06,0.0,0.03251517464499388,10.954937827357869,,,2.1649935000023106,0.296630859375
Dense spectral periodic Q1 FEM,64x64,0.049080729429054205,0.042552572176266616,0.01895759011747284,0.00035930874004929097,2.220446049250313e-16,0.0,0.03253086580460586,11.041171307313581,,,8.736126399991917,0.9375
Dense spectral periodic Q1 FEM,80x80,0.04977458025113515,0.04298968278471237,0.018982896211173852,0.0003602725792346356,9.330949084951357e-06,0.0,0.03255838878554108,10.914418401222513,,,27.245523499994306,2.288818359375
Dense spectral periodic Q1 FEM,96x96,0.050720771935272704,0.04362515345714482,0.01918218110845179,0.00036787739851168704,9.93934357040871e-09,0.0,0.03259774860608863,10.892201951780821,,,77.92394959999365,4.74609375
Dense spectral periodic Q1 FEM,128x128,0.052503143067313914,0.04482884150730123,0.019624126192785064,0.000385023530239432,0.0,0.0,0.032606366091964406,11.002633825807683,,,454.5265405999962,15.0
